season,competition_stage,competition,match_status,match_week,home_team,home_team_id,home_managers,away_team_id,away_team,away_managers,stadium_id,referee_id,is_youth,is_international,country_name,season_name,count(DISTINCT match_id)
2016/2017,Regular Season,La Liga,available,24,Atlético Madrid,212,"[{""id"":230,""name"":""Diego Pablo Simeone"",""nickname"":""Diego Simeone"",""dob"":""1970-04-28"",""country"":{""id"":11,""name"":""Argentina""}}]",217,Barcelona,"[{""id"":793,""name"":""Luis Enrique Martínez García"",""nickname"":""Luis Enrique"",""dob"":""1970-05-08"",""country"":{""id"":214,""name"":""Spain""}}]",625,180,false,false,Spain,2016/2017,1
2006/2007,Regular Season,La Liga,available,2,Barcelona,217,"[{""id"":4953,""name"":""Frank Rijkaard"",""nickname"":null,""dob"":""1962-09-30"",""country"":{""id"":160,""name"":""Netherlands""}}]",422,Osasuna,"[{""id"":210,""name"":""José Ángel Ziganda Lacunza"",""nickname"":""Cuco Ziganda"",""dob"":""1966-10-01"",""country"":{""id"":214,""name"":""Spain""}}]",342,1006,false,false,Spain,2006/2007,1
2025,Final,UEFA Women's Euro,available,6,England Women's,865,"[{""id"":45,""name"":""Sarina Glotzbach-Wiegman"",""nickname"":""Sarina Wiegman"",""dob"":""1969-10-26"",""country"":{""id"":160,""name"":""Netherlands""}}]",863,Spain Women's,"[{""id"":1005107,""name"":""Montserrat Tomé Vázquez"",""nickname"":""M.Tomé Vázquez"",""dob"":""1982-05-11"",""country"":{""id"":214,""name"":""Spain""}}]",523,128,false,true,Europe,2025,1
2015/2016,Regular Season,La Liga,available,4,Eibar,322,"[{""id"":221,""name"":""José Luis Mendilibar Etxebarria"",""nickname"":""José Luis Mendilibar"",""dob"":""1961-03-14"",""country"":{""id"":214,""name"":""Spain""}}]",212,Atlético Madrid,"[{""id"":230,""name"":""Diego Pablo Simeone"",""nickname"":""Diego Simeone"",""dob"":""1970-04-28"",""country"":{""id"":11,""name"":""Argentina""}}]",347,2608,false,false,Spain,2015/2016,1
2018,Round of 16,FIFA World Cup,available,4,Spain,772,"[{""id"":643,""name"":""Fernando Ruiz Hierro"",""nickname"":""Fernando Hierro"",""dob"":""1968-03-23"",""country"":{""id"":214,""name"":""Spain""}}]",796,Russia,"[{""id"":365,""name"":""Stanislav Cherchesov"",""nickname"":null,""dob"":""1963-09-02"",""country"":{""id"":188,""name"":""Russia""}}]",255,287,false,true,International,2018,1
2019,Regular Season,Women's World Cup,available,3,Jamaica Women's,1212,"[{""id"":4243,""name"":""Hue Menzies"",""nickname"":null,""dob"":""1964-03-10"",""country"":{""id"":113,""name"":""Jamaica""}}]",1205,Australia Women's,"[{""id"":3541,""name"":""Ante Milicic"",""nickname"":null,""dob"":""1974-04-04"",""country"":{""id"":14,""name"":""Australia""}}]",455,721,false,true,International,2019,1
2015/2016,Regular Season,Premier League,available,9,Tottenham Hotspur,38,"[{""id"":81,""name"":""Mauricio Roberto Pochettino Trossero"",""nickname"":""Mauricio Pochettino"",""dob"":""1972-03-02"",""country"":{""id"":11,""name"":""Argentina""}}]",24,Liverpool,"[{""id"":94,""name"":""Jürgen Klopp"",""nickname"":null,""dob"":""1967-06-16"",""country"":{""id"":85,""name"":""Germany""}}]",99148,2,false,false,England,2015/2016,1
2015/2016,Regular Season,Ligue 1,available,25,Lorient,165,"[{""id"":2983,""name"":""Sylvain Ripoll"",""nickname"":null,""dob"":""1971-08-15"",""country"":{""id"":78,""name"":""France""}}]",139,Montpellier,"[{""id"":119,""name"":""Frédéric Hantz"",""nickname"":null,""dob"":""1966-05-30"",""country"":{""id"":78,""name"":""France""}}]",204,83,false,false,France,2015/2016,1
2021/2022,Regular Season,Ligue 1,available,4,Stade de Reims,156,"[{""id"":430,""name"":""Óscar García Junyent"",""nickname"":""Óscar García"",""dob"":""1973-04-26"",""country"":{""id"":214,""name"":""Spain""}}]",131,Paris Saint-Germain,"[{""id"":81,""name"":""Mauricio Roberto Pochettino Trossero"",""nickname"":""Mauricio Pochettino"",""dob"":""1972-03-02"",""country"":{""id"":11,""name"":""Argentina""}}]",232,79,false,false,France,2021/2022,1
2015/2016,Regular Season,Ligue 1,available,29,Angers,145,"[{""id"":301,""name"":""Stéphane Moulin"",""nickname"":null,""dob"":""1967-08-04"",""country"":{""id"":78,""name"":""France""}}]",135,Saint-Étienne,"[{""id"":281,""name"":""Christophe Galtier"",""nickname"":null,""dob"":""1966-08-23"",""country"":{""id"":78,""name"":""France""}}]",153,100,false,false,France,2015/2016,1
2015/2016,Regular Season,La Liga,available,2,Real Sociedad,210,"[{""id"":86,""name"":""David Moyes"",""nickname"":null,""dob"":""1963-04-25"",""country"":{""id"":201,""name"":""Scotland""}}]",1041,Sporting Gijón,"[{""id"":187,""name"":""Abelardo Fernández Antuña"",""nickname"":""Abelardo"",""dob"":""1970-04-19"",""country"":{""id"":214,""name"":""Spain""}}]",5043,2625,false,false,Spain,2015/2016,1
2010/2011,Regular Season,La Liga,available,3,Atlético Madrid,212,"[{""id"":236,""name"":""Enrique Sánchez Flores"",""nickname"":""Quique Sánchez Flores"",""dob"":""1965-02-05"",""country"":{""id"":214,""name"":""Spain""}}]",217,Barcelona,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",625,222,false,false,Spain,2010/2011,1
2015/2016,Regular Season,Ligue 1,available,24,Stade de Reims,156,"[{""id"":2936,""name"":""Olivier Guégan"",""nickname"":null,""dob"":""1972-08-20"",""country"":{""id"":78,""name"":""France""}}]",145,Angers,"[{""id"":301,""name"":""Stéphane Moulin"",""nickname"":null,""dob"":""1967-08-04"",""country"":{""id"":78,""name"":""France""}}]",232,100,false,false,France,2015/2016,1
2023,Group Stage,African Cup of Nations,available,3,Zambia,4963,"[{""id"":4969,""name"":""Avraham Grant"",""nickname"":null,""dob"":""1955-02-06"",""country"":{""id"":111,""name"":""Israel""}}]",788,Morocco,"[{""id"":1000518,""name"":""Walid Regragui"",""nickname"":null,""dob"":""1975-09-23"",""country"":{""id"":154,""name"":""Morocco""}}]",1001497,1006318,false,true,Africa,2023,1
2015/2016,Regular Season,Serie A,available,27,Fiorentina,239,"[{""id"":1798,""name"":""Paulo Manuel Carvalho de Sousa"",""nickname"":""Paulo Sousa"",""dob"":""1970-08-30"",""country"":{""id"":183,""name"":""Portugal""}}]",227,Napoli,"[{""id"":388,""name"":""Maurizio Sarri"",""nickname"":null,""dob"":""1959-01-10"",""country"":{""id"":112,""name"":""Italy""}}]",386,253,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Ligue 1,available,11,Angers,145,"[{""id"":301,""name"":""Stéphane Moulin"",""nickname"":null,""dob"":""1967-08-04"",""country"":{""id"":78,""name"":""France""}}]",142,Guingamp,"[{""id"":434,""name"":""Jocelyn Gourvennec"",""nickname"":null,""dob"":""1972-03-22"",""country"":{""id"":78,""name"":""France""}}]",153,100,false,false,France,2015/2016,1
2022,Group Stage,FIFA World Cup,available,3,Serbia,786,"[{""id"":5908,""name"":""Dragan Stojković"",""nickname"":null,""dob"":""1965-03-03"",""country"":{""id"":203,""name"":""Serbia""}}]",773,Switzerland,"[{""id"":2832,""name"":""Murat Yakin"",""nickname"":null,""dob"":""1974-09-15"",""country"":{""id"":221,""name"":""Switzerland""}}]",1001115,1121,false,true,International,2022,1
2015/2016,Regular Season,1. Bundesliga,available,22,Schalke 04,181,"[{""id"":58,""name"":""André Breitenreiter"",""nickname"":null,""dob"":""1973-10-02"",""country"":{""id"":85,""name"":""Germany""}}]",174,VfB Stuttgart,"[{""id"":1003277,""name"":""Jürgen Kramny"",""nickname"":null,""dob"":""1971-10-18"",""country"":{""id"":85,""name"":""Germany""}}]",370,245,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Serie A,available,21,Sampdoria,234,"[{""id"":232,""name"":""Vincenzo Montella"",""nickname"":null,""dob"":""1974-06-18"",""country"":{""id"":112,""name"":""Italy""}}]",227,Napoli,"[{""id"":388,""name"":""Maurizio Sarri"",""nickname"":null,""dob"":""1959-01-10"",""country"":{""id"":112,""name"":""Italy""}}]",387,269,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Premier League,available,36,Arsenal,1,"[{""id"":577,""name"":""Arsène Wenger"",""nickname"":null,""dob"":""1949-10-22"",""country"":{""id"":78,""name"":""France""}}]",56,Norwich City,"[{""id"":41,""name"":""Alex Neil"",""nickname"":null,""dob"":""1981-06-09"",""country"":{""id"":201,""name"":""Scotland""}}]",3,14,false,false,England,2015/2016,1
2020,Quarter-finals,UEFA Euro,available,5,Ukraine,911,"[{""id"":2303,""name"":""Andrii Shevchenko"",""nickname"":null,""dob"":""1976-09-29"",""country"":{""id"":238,""name"":""Ukraine""}}]",768,England,"[{""id"":277,""name"":""Gareth Southgate"",""nickname"":null,""dob"":""1970-09-03"",""country"":{""id"":68,""name"":""England""}}]",381,186,false,true,Europe,2020,1
2021/2022,Regular Season,Indian Super league,available,4,NorthEast United,7285,"[{""id"":1000616,""name"":""Khalid Ahmed Jamil"",""nickname"":null,""dob"":""1977-04-21"",""country"":{""id"":105,""name"":""India""}}]",7288,Goa,"[{""id"":2815,""name"":""Juan Ferrando Fenol"",""nickname"":""Juan Ferrando"",""dob"":""1981-01-02"",""country"":{""id"":214,""name"":""Spain""}}]",1000400,1004912,false,false,India,2021/2022,1
2025,Group Stage,UEFA Women's Euro,available,3,WNT Finland,920,"[{""id"":1006461,""name"":""Marko Saloranta"",""nickname"":null,""dob"":""1972-03-31"",""country"":{""id"":77,""name"":""Finland""}}]",860,Switzerland Women's,"[{""id"":177,""name"":""Pia Mariane Sundhage"",""nickname"":""Pia Sundhage"",""dob"":""1960-02-13"",""country"":{""id"":220,""name"":""Sweden""}}]",524,128,false,true,Europe,2025,1
2015/2016,Regular Season,1. Bundesliga,available,21,Borussia Dortmund,180,"[{""id"":279,""name"":""Thomas Tuchel"",""nickname"":null,""dob"":""1973-08-29"",""country"":{""id"":85,""name"":""Germany""}}]",178,Hannover 96,"[{""id"":6065,""name"":""Thomas Schaaf"",""nickname"":null,""dob"":""1961-04-30"",""country"":{""id"":85,""name"":""Germany""}}]",373,1943,false,false,Germany,2015/2016,1
2021/2022,Regular Season,Indian Super league,available,5,ATK Mohun Bagan,7282,"[{""id"":1000613,""name"":""Antonio López Habas"",""nickname"":""Antonio López"",""dob"":""1957-05-28"",""country"":{""id"":214,""name"":""Spain""}}]",7290,Chennaiyin,"[{""id"":1000842,""name"":""Božidar Bandović"",""nickname"":null,""dob"":""1969-08-30"",""country"":{""id"":203,""name"":""Serbia""}}]",1000400,1004912,false,false,India,2021/2022,1
2015/2016,Regular Season,Serie A,available,21,Palermo,2256,,230,Udinese,"[{""id"":1000693,""name"":""Stefano Colantuono"",""nickname"":null,""dob"":""1962-10-23"",""country"":{""id"":112,""name"":""Italy""}}]",4983,253,false,false,Italy,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,11,Schalke 04,181,"[{""id"":58,""name"":""André Breitenreiter"",""nickname"":null,""dob"":""1973-10-02"",""country"":{""id"":85,""name"":""Germany""}}]",189,Ingolstadt,"[{""id"":44,""name"":""Ralph Hasenhüttl"",""nickname"":null,""dob"":""1967-08-09"",""country"":{""id"":15,""name"":""Austria""}}]",370,1008758,false,false,Germany,2015/2016,1
2015/2016,Regular Season,La Liga,available,32,Granada,1049,"[{""id"":226,""name"":""José Manuel González López"",""nickname"":""José González"",""dob"":""1966-10-14"",""country"":{""id"":214,""name"":""Spain""}}]",223,Málaga,"[{""id"":188,""name"":""Javier Gracia Carlos"",""nickname"":""Javi Gracia"",""dob"":""1970-05-01"",""country"":{""id"":214,""name"":""Spain""}}]",4667,2604,false,false,Spain,2015/2016,1
2015/2016,Regular Season,Serie A,available,2,Atalanta,228,"[{""id"":3567,""name"":""Edoardo Reja"",""nickname"":null,""dob"":""1945-10-10"",""country"":{""id"":112,""name"":""Italy""}}]",291,Frosinone,"[{""id"":3282,""name"":""Roberto Stellone"",""nickname"":null,""dob"":""1977-07-22"",""country"":{""id"":112,""name"":""Italy""}}]",4954,1940,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Premier League,available,12,Aston Villa,59,"[{""id"":92,""name"":""Rémi Garde"",""nickname"":null,""dob"":""1966-04-03"",""country"":{""id"":78,""name"":""France""}}]",36,Manchester City,"[{""id"":733,""name"":""Manuel Luis Pellegrini Ripamonti"",""nickname"":""Manuel Pellegrini"",""dob"":""1953-09-16"",""country"":{""id"":45,""name"":""Chile""}}]",211,2,false,false,England,2015/2016,1
2023,Round of 16,Women's World Cup,available,4,Switzerland Women's,860,"[{""id"":1002252,""name"":""Inka Grings"",""nickname"":null,""dob"":""1978-10-31"",""country"":{""id"":85,""name"":""Germany""}}]",863,Spain Women's,"[{""id"":418,""name"":""Jorge Vilda"",""nickname"":null,""dob"":""1981-07-07"",""country"":{""id"":214,""name"":""Spain""}}]",28892,833,false,true,International,2023,1
2015/2016,Regular Season,1. Bundesliga,available,34,Hoffenheim,175,"[{""id"":445,""name"":""Julian Nagelsmann"",""nickname"":null,""dob"":""1987-07-23"",""country"":{""id"":85,""name"":""Germany""}}]",181,Schalke 04,"[{""id"":58,""name"":""André Breitenreiter"",""nickname"":null,""dob"":""1973-10-02"",""country"":{""id"":85,""name"":""Germany""}}]",4541,186,false,false,Germany,2015/2016,1
2023,Group Stage,African Cup of Nations,available,2,Algeria,4898,"[{""id"":1000440,""name"":""Djamel Belmadi"",""nickname"":null,""dob"":""1976-03-25"",""country"":{""id"":4,""name"":""Algeria""}}]",4921,Burkina Faso,"[{""id"":1000428,""name"":""Hubert Velud"",""nickname"":null,""dob"":""1959-06-08"",""country"":{""id"":78,""name"":""France""}}]",1001316,2323,false,true,Africa,2023,1
2018,Group Stage,FIFA World Cup,available,1,Argentina,779,"[{""id"":637,""name"":""Jorge Luis Sampaoli Moya"",""nickname"":""Jorge Sampaoli"",""dob"":""1960-03-13"",""country"":{""id"":11,""name"":""Argentina""}}]",793,Iceland,"[{""id"":648,""name"":""Heimir Hallgrímsson"",""nickname"":null,""dob"":""1967-06-10"",""country"":{""id"":104,""name"":""Iceland""}}]",4130,367,false,true,International,2018,1
2015/2016,Regular Season,1. Bundesliga,available,4,Bayern Munich,169,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",172,Augsburg,"[{""id"":672,""name"":""Markus Weinzierl"",""nickname"":null,""dob"":""1974-12-28"",""country"":{""id"":85,""name"":""Germany""}}]",4867,1008759,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Premier League,available,29,Southampton,25,"[{""id"":676,""name"":""Ronald Koeman"",""nickname"":null,""dob"":""1963-03-21"",""country"":{""id"":160,""name"":""Netherlands""}}]",41,Sunderland,"[{""id"":561,""name"":""Sam Allardyce"",""nickname"":null,""dob"":""1954-10-19"",""country"":{""id"":68,""name"":""England""}}]",4591,7,false,false,England,2015/2016,1
2015/2016,Regular Season,Premier League,available,16,Sunderland,41,"[{""id"":561,""name"":""Sam Allardyce"",""nickname"":null,""dob"":""1954-10-19"",""country"":{""id"":68,""name"":""England""}}]",23,Watford,"[{""id"":236,""name"":""Enrique Sánchez Flores"",""nickname"":""Quique Sánchez Flores"",""dob"":""1965-02-05"",""country"":{""id"":214,""name"":""Spain""}}]",210,11,false,false,England,2015/2016,1
2015/2016,Regular Season,Premier League,available,4,Swansea City,26,"[{""id"":270,""name"":""Garry Monk"",""nickname"":null,""dob"":""1979-03-06"",""country"":{""id"":68,""name"":""England""}}]",39,Manchester United,"[{""id"":788,""name"":""Louis van Gaal"",""nickname"":null,""dob"":""1951-08-08"",""country"":{""id"":160,""name"":""Netherlands""}}]",45,4,false,false,England,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,21,FC Köln,186,"[{""id"":43,""name"":""Peter Stöger"",""nickname"":null,""dob"":""1966-04-11"",""country"":{""id"":15,""name"":""Austria""}}]",184,Eintracht Frankfurt,"[{""id"":1003175,""name"":""Armin Veh"",""nickname"":null,""dob"":""1961-02-01"",""country"":{""id"":85,""name"":""Germany""}}]",363,241,false,false,Germany,2015/2016,1
2015/2016,Regular Season,Serie A,available,16,Chievo,231,"[{""id"":114,""name"":""Rolando Maran"",""nickname"":null,""dob"":""1963-07-14"",""country"":{""id"":112,""name"":""Italy""}}]",228,Atalanta,"[{""id"":3567,""name"":""Edoardo Reja"",""nickname"":null,""dob"":""1945-10-10"",""country"":{""id"":112,""name"":""Italy""}}]",4488,255,false,false,Italy,2015/2016,1
2015/2016,Regular Season,Serie A,available,3,Hellas Verona,226,"[{""id"":4071,""name"":""Andrea Mandorlini"",""nickname"":null,""dob"":""1960-07-17"",""country"":{""id"":112,""name"":""Italy""}}]",241,Torino,"[{""id"":710,""name"":""Gian Piero Ventura\t"",""nickname"":null,""dob"":""1948-01-14"",""country"":{""id"":112,""name"":""Italy""}}]",4488,270,false,false,Italy,2015/2016,1
2021/2022,Regular Season,Indian Super league,available,19,Bengaluru,7284,"[{""id"":1000615,""name"":""Marco Pezzaiuoli"",""nickname"":null,""dob"":""1968-11-16"",""country"":{""id"":85,""name"":""Germany""}}]",7291,Odisha,"[{""id"":1000992,""name"":""Joaquín García"",""nickname"":null,""dob"":null,""country"":{""id"":214,""name"":""Spain""}}]",5810,1004958,false,false,India,2021/2022,1
2015/2016,Regular Season,Ligue 1,available,10,AS Monaco,129,"[{""id"":427,""name"":""José Leonardo Nunes Alves Sousa Jardim"",""nickname"":""Leonardo Jardim"",""dob"":""1974-08-01"",""country"":{""id"":183,""name"":""Portugal""}}]",137,Lyon,"[{""id"":3796,""name"":""Hubert Fournier"",""nickname"":null,""dob"":""1967-09-03"",""country"":{""id"":78,""name"":""France""}}]",4175,1950,false,false,France,2015/2016,1
2015/2016,Regular Season,1. Bundesliga,available,7,FSV Mainz 05,177,"[{""id"":186,""name"":""Martin Schmidt"",""nickname"":null,""dob"":""1967-04-12"",""country"":{""id"":221,""name"":""Switzerland""}}]",169,Bayern Munich,"[{""id"":36,""name"":""Josep Guardiola i Sala"",""nickname"":""Pep Guardiola"",""dob"":""1971-01-18"",""country"":{""id"":214,""name"":""Spain""}}]",374,245,false,false,Germany,2015/2016,1
1988/1989,Final,UEFA Europa League,available,12,Napoli,227,"[{""id"":1001756,""name"":""Ottavio Bianchi"",""nickname"":null,""dob"":""1943-10-06"",""country"":{""id"":112,""name"":""Italy""}}]",174,VfB Stuttgart,"[{""id"":1003286,""name"":""Arie Haan"",""nickname"":null,""dob"":""1948-11-16"",""country"":{""id"":85,""name"":""Germany""}}]",117450,1009054,false,false,Europe,1988/1989,1
2015/2016,Regular Season,La Liga,available,6,Sevilla,213,"[{""id"":21,""name"":""Unai Emery Etxegoien"",""nickname"":""Unai Emery"",""dob"":""1971-11-03"",""country"":{""id"":214,""name"":""Spain""}}]",360,Rayo Vallecano,"[{""id"":220,""name"":""Francisco Jémez Martín"",""nickname"":""Paco Jémez"",""dob"":""1970-04-18"",""country"":{""id"":214,""name"":""Spain""}}]",349,2608,false,false,Spain,2015/2016,1
2023,Group Stage,African Cup of Nations,available,1,Nigeria,775,"[{""id"":523,""name"":""José Vítor dos Santos Peseiro"",""nickname"":""José Peseiro"",""dob"":""1960-04-04"",""country"":{""id"":183,""name"":""Portugal""}}]",4992,Equatorial Guinea,"[{""id"":1000467,""name"":""Juan Micha Obiang Bicogo"",""nickname"":""Juan Micha"",""dob"":""1975-07-28"",""country"":{""id"":69,""name"":""Equatorial Guinea""}}]",117860,2323,false,true,Africa,2023,1
2015/2016,Regular Season,1. Bundesliga,available,34,Wolfsburg,179,"[{""id"":411,""name"":""Dieter Hecking"",""nickname"":null,""dob"":""1964-09-12"",""country"":{""id"":85,""name"":""Germany""}}]",174,VfB Stuttgart,"[{""id"":1003277,""name"":""Jürgen Kramny"",""nickname"":null,""dob"":""1971-10-18"",""country"":{""id"":85,""name"":""Germany""}}]",4849,230,false,false,Germany,2015/2016,1
2022,Group Stage,UEFA Women's Euro,available,2,Germany Women's,857,"[{""id"":53,""name"":""Martina Voss-Tecklenburg"",""nickname"":null,""dob"":""1967-12-22"",""country"":{""id"":85,""name"":""Germany""}}]",863,Spain Women's,"[{""id"":418,""name"":""Jorge Vilda"",""nickname"":null,""dob"":""1981-07-07"",""country"":{""id"":214,""name"":""Spain""}}]",116926,128,false,true,Europe,2022,1
2015/2016,Regular Season,La Liga,available,5,Granada,1049,"[{""id"":1617,""name"":""José Ramón Sandoval Huertas"",""nickname"":""José Ramón Sandoval"",""dob"":""1968-05-02"",""country"":{""id"":214,""name"":""Spain""}}]",210,Real Sociedad,"[{""id"":86,""name"":""David Moyes"",""nickname"":null,""dob"":""1963-04-25"",""country"":{""id"":201,""name"":""Scotland""}}]",4667,2604,false,false,Spain,2015/2016,1
2015/2016,Regular Season,Ligue 1,available,26,Rennes,134,"[{""id"":1001260,""name"":""Rolland Courbis"",""nickname"":null,""dob"":""1953-08-12"",""country"":{""id"":78,""name"":""France""}}]",145,Angers,"[{""id"":301,""name"":""Stéphane Moulin"",""nickname"":null,""dob"":""1967-08-04"",""country"":{""id"":78,""name"":""France""}}]",166,715,false,false,France,2015/2016,1
